_id,invite_code,new_invite_code,invite.guild.id,invite.guild.name,invite.approximate_member_count
5f914d1cecf5a59e4a58c307,aaapVb,jyCumrF,720009727664455802,"JontyMaster's Server",65
5f914d20ecf5a59e4a58c308,aaaq4W,SzQxn2H,616597647058403350,"""Russian Boosters""",47
5f914d39ecf5a59e4a58c309,aaat8Y,XAJXE35,768708295787413524,"what's poppin'?",2
5f914d39ecf5a59e4a58c30a,aaauXr,null,545393007399272480,Exodus UoF,73
5f914d4decf5a59e4a58c30b,aaasqb,zSP4Wp8,766014865365532702,The rebellion,17
5f914d5cecf5a59e4a58c30c,aaaF67,44EyrTT,736113232976019456,逗留 | you can stay 🌿,101
5f914d62ecf5a59e4a58c30d,aaavBy,bqPFbZb,768538982631604295,Ana games!!,3
5f914d6fecf5a59e4a58c30e,aaaV6g,P4595Tq,750045428145324073,"Diamond8633's server",30
5f914d7decf5a59e4a58c30f,aaaSgD,GhDk9yu,768553842248908851,"Among US, ROBLOX ОПГ",6
5f914d81ecf5a59e4a58c310,aaaDRg,cPgQxpP,763953077555953684,pro4ninja,5
5f914d84ecf5a59e4a58c311,aaaJkX,null,284825834282418177,Кровавая Вечность,105
5f914d86ecf5a59e4a58c312,aaaR2R,x9CUnEF,768695074887565314,Pepa and Friends,5
5f914d9becf5a59e4a58c313,aabbZV,JTQrtR6,741721648843194411,Among Us LFG,145301
5f914d9cecf5a59e4a58c314,aaa8FZ,nkvymua,479478539998199837,New Team,29
5f914da3ecf5a59e4a58c315,aaaWr9,mrTnaMr,720438818313994371,The Office,17
5f914da4ecf5a59e4a58c316,aaaUyM,3UJwq9c,739759972539433003,"Gionel's server",3
5f914da8ecf5a59e4a58c317,aabaCm,4YWfFfZ,768541827497852969,JCS Pine Hills Achademy,5
5f914dabecf5a59e4a58c318,aaawNJ,GDDubFH,763087995111866388,Ngọc Tú,12
5f914dc3ecf5a59e4a58c319,aabr66,zRms5bS,721480338941018133,RBX.BEST,44418
5f914dcdecf5a59e4a58c31a,aabswc,hcXQkCm,747327377075339284,明日花キララ,12
5f914dd0ecf5a59e4a58c31b,aabaGu,null,750879307856871475,FENIX FAMILY,52
5f914dddecf5a59e4a58c31c,aabCua,b5t9cW4,766135650889629696,Among Us Dummies,15
5f914de3ecf5a59e4a58c31d,aabEjH,null,749570790466256896,Boş Bi Sunucu T-T,34
5f914de4ecf5a59e4a58c31e,aabtEH,t3k56cM,561560892945334280,Among Us France,38015
